trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.1, 'e': 0.9337934601035228}",25,10,-85.27750691097569,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
139,False,"{'a': 0.1, 'e': 0.933326680078202}",25,0,-144.292631879231,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
140,False,"{'a': 0.1, 'e': 0.932860133384556}",30,2,-157.67098763294308,"{0: 14, 1: 7, 2: 4, 3: 1, 4: 2}",1
141,False,"{'a': 0.1, 'e': 0.9323938199059483}",20,0,-191.009945990104,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
142,False,"{'a': 0.1, 'e': 0.9319277395258003}",20,0,-169.01776843374728,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
143,False,"{'a': 0.1, 'e': 0.9314618921275921}",20,4,-107.44742583777024,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 2}",1
144,False,"{'a': 0.1, 'e': 0.9309962775948618}",30,0,-124.3232513531796,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.1, 'e': 0.9305308958112057}",25,0,-133.1338262910369,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
146,False,"{'a': 0.1, 'e': 0.9300657466602785}",25,1,-48.40887885106837,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.1, 'e': 0.9296008300257927}",20,6,-81.69293082905389,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 1}",1
148,False,"{'a': 0.1, 'e': 0.9291361457915193}",30,0,-300.8889783525936,"{0: 11, 1: 5, 2: 7, 3: 3, 4: 4}",0
149,False,"{'a': 0.1, 'e': 0.9286716938412872}",25,0,-187.94356282565246,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
150,False,"{'a': 0.1, 'e': 0.9282074740589834}",30,0,-123.34307673576595,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.1, 'e': 0.9277434863285529}",20,0,-123.31708656124994,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
152,False,"{'a': 0.1, 'e': 0.9272797305339988}",25,0,-126.57920549719626,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.1, 'e': 0.9268162065593822}",20,0,-163.3846671071823,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
154,False,"{'a': 0.1, 'e': 0.9263529142888222}",20,0,-80.96736306871271,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.9258898536064953}",20,0,-74.73779630354903,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.9254270243966368}",20,0,-219.4200183577062,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
157,False,"{'a': 0.1, 'e': 0.9249644265435393}",20,0,-25.68940669868288,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.9245020599315531}",30,0,-124.01053650680682,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
159,False,"{'a': 0.1, 'e': 0.9240399244450868}",20,0,-7.3003235676633125,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.9235780199686064}",20,0,-52.136221336338785,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
161,False,"{'a': 0.1, 'e': 0.9231163463866358}",30,11,-119.56360339031828,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
162,False,"{'a': 0.1, 'e': 0.9226549035837566}",35,4,-172.17332435874067,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 2}",1
163,False,"{'a': 0.1, 'e': 0.922193691444608}",25,0,-171.52900250815918,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
164,False,"{'a': 0.1, 'e': 0.9217327098538872}",20,0,-38.36539545777844,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.9212719586963487}",20,0,-60.77816719174295,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.1, 'e': 0.9208114378568045}",20,0,-74.91594101774766,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
167,False,"{'a': 0.1, 'e': 0.9203511472201247}",20,0,-57.81756514665158,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
168,False,"{'a': 0.1, 'e': 0.9198910866712364}",30,0,-47.26170527274892,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
